crop_id,phase,high_yield_above,inc_N_yield,inc_N_low_SOM,inc_N_low_vigor,inc_N_grassed,inc_N_rain_surplus,inc_N_straw_burial,inc_N_adverse_climate,inc_N_compacted_no_till,inc_N_higher_demand,inc_N_high_density,inc_N_grasses,inc_N_dual_season,inc_N_max,inc_P2O5_yield,inc_P2O5_low_SOM,inc_P2O5_early_sowing,inc_P2O5_continuous_crop,inc_P2O5_high_active_carbonate,inc_P2O5_dual_season,inc_P2O5_max,inc_K2O_yield,inc_K2O_unfertilised_or_late_cv,inc_K2O_low_SOM,inc_K2O_dual_season,inc_K2O_storage_industrial_cv,inc_K2O_max
E44,nd,5.0,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,50.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,30.0
E45,nd,5.0,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,50.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,30.0
E46,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
E47,nd,4.2,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,120.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,20.0
E48,nd,4.2,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,120.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,20.0
E49,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
E50,nd,9.0,25.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,10.0
E51,nd,9.0,25.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,10.0
E52,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
E53,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
E54,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
E55,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
E56,nd,8.5,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,50.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,30.0
E57,nd,8.5,30.0,15.0,0.0,0.0,15.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,50.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,30.0
F1,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
F2,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
