id,crop_id,crop,N,P2O5,K2O,balance,reference_yield,std_N_demand,std_P2O5_demand,std_K2O_demand,harvested_part
225.0,BL6,Foglie e steli di Brassica,0.0,0.0,0.0,no,12.0,0.0,0.0,0.0,
226.0,BL7,Lattuga da cespo,0.27,0.08,0.47,sì,12.0,32.400000000000006,9.6,56.4,
227.0,BL8,Lattughino 1° taglio,0.485,0.14,0.527,sì,10.0,48.5,14.000000000000002,52.7,
228.0,BL9,Lattughino 2° taglio,0.485,0.14,0.527,sì,10.0,48.5,14.000000000000002,52.7,
229.0,BL10,Rucola 1° taglio,0.43,0.13,0.45,sì,10.0,43.0,13.0,45.0,
230.0,BL11,Rucola 2° taglio,0.54,0.15,0.6,sì,32.0,172.8,48.0,192.0,
231.0,BL12,Spinacino 1° taglio,0.338,0.133,0.711,sì,32.0,108.16000000000001,42.56,227.51999999999998,
232.0,BL13,Spinacino 2° taglio,0.338,0.133,0.711,sì,11.5,38.870000000000005,15.295000000000002,81.76499999999999,
233.0,BL14,Valerianella,0.494,0.146,0.584,sì,11.5,56.81,16.79,67.16,
234.0,BL15,baby leaf generica,0.385,0.116,0.57,sì,11.5,44.275000000000006,13.34,65.55,
50.0,E17,Grano duro (pianta intera),3.11,1.06,1.99,sì,6.0,186.6,63.6,119.39999999999999,granella + residui
