id,group_progressive,crop_id,crop,n_fixation_pct,cycle_id,cultivation,N_limit,no_till_reduction,genus,species
131.0,11.0,O11,Broccolo media produzione,0.0,m,pieno campo,340.0,False,Brassica,oleracea var. botrytis
132.0,12.0,O12,Broccolo alta produzione,0.0,m,pieno campo,340.0,False,Brassica,oleracea var. botrytis
133.0,13.0,O13,Cappuccio media produzione,0.0,m,pieno campo,340.0,False,Brassica,oleracea var. capitata
134.0,14.0,O14,Cappuccio alta produzione,0.0,m,pieno campo,340.0,False,Brassica,oleracea var. capitata
135.0,15.0,O15,Carciofo,0.0,p,pieno campo,340.0,False,,
136.0,16.0,O16,Cardo media produzione,0.0,m,pieno campo,340.0,False,Cynara,cardunculus
137.0,17.0,O17,Cardo alta produzione,0.0,m,pieno campo,340.0,False,,
138.0,18.0,O18,Carota,0.0,m,pieno campo,340.0,False,Daucus,carota
139.0,19.0,O19,Cavolfiore media produzione,0.0,m,pieno campo,340.0,False,Brassica,oleracea
140.0,20.0,O20,Cavolfiore alta produzione,0.0,m,pieno campo,340.0,False,Brassica,oleracea
141.0,21.0,O21,Cavolo verza mercato media produzione,0.0,m,pieno campo,340.0,False,Brassica,oleracea
142.0,22.0,O22,Cavolo verza mercato alta produzione,0.0,m,pieno campo,340.0,False,Brassica,oleracea
143.0,23.0,O23,"Cavolo Riccio, Cavolo nero e Cavolo Rapa",0.0,m,pieno campo,340.0,False,Brassica,oleracea
144.0,24.0,O24,Cetriolo da mensa media produzione,0.0,m,pieno campo,340.0,False,Cucumis,sativus
145.0,25.0,O25,Cetriolo da mensa alta produzione,0.0,m,pieno campo,340.0,False,Cucumis,sativus
146.0,26.0,O26,Cicoria da mercato media produzione,0.0,m,pieno campo,340.0,False,Cichorium,intybus
147.0,27.0,O27,Cicoria da mercato alta produzione,0.0,m,pieno campo,340.0,False,Cichorium,intybus var. foliosum
148.0,28.0,O28,Cicoria da industria alta produzione più tagli,0.0,m,pieno campo,340.0,False,Cichorium,intybus var. foliosum
149.0,29.0,O29,Cipolla media produzione,0.0,m,pieno campo,340.0,False,Allium,cepa
150.0,30.0,O30,Cipolla alta produzione,0.0,m,pieno campo,340.0,False,Allium,cepa
151.0,31.0,O31,Cocomero,0.0,m,pieno campo,340.0,False,Citrullus,lanatus
152.0,32.0,O32,Endivie (indivie riccia e scarola) media produzione,0.0,m,pieno campo,340.0,False,Cichorium,endivia
153.0,33.0,O33,Endivie (indivie riccia e scarola) alta produzione,0.0,m,pieno campo,340.0,False,Cichorium,endivia
154.0,34.0,O34,Fagiolino,75.0,m,pieno campo,75.0,False,Phaseolus,vulgaris
155.0,35.0,O35,Fagiolo in baccelli da sgranare,80.0,m,pieno campo,75.0,False,Phaseolus,vulgaris
156.0,36.0,O36,Fagiolo secco,80.0,m,pieno campo,75.0,False,Phaseolus,vulgaris
157.0,37.0,O37,Fava da consumo fresco,85.0,m,pieno campo,40.0,False,Vicia,faba var. major
158.0,38.0,O38,Finocchio,0.0,m,pieno campo,340.0,False,Foeniculum,vulgare
159.0,39.0,O39,Fragola ,0.0,m,pieno campo,340.0,False,Fragraria,F. chiloensis x  F. virginiana
160.0,40.0,O40,Lattuga,0.0,m,pieno campo,340.0,False,Lactuca,sativa
161.0,41.0,O41,Lattuga coltura protetta,0.0,m,protetta,340.0,False,Lactuca,sativa
162.0,42.0,O42,Melanzana in pieno campo media produzione,0.0,m,protetta,340.0,False,Solanum,melongena
163.0,43.0,O43,Melanzana coltura protetta alta produzione,0.0,m,protetta,340.0,False,Solanum,melongena
164.0,44.0,O44,Melone,0.0,m,protetta,340.0,False,Cucumis,melo
165.0,45.0,O45,Patata,0.0,m,pieno campo,340.0,False,Solanum,tuberosum
166.0,46.0,O46,Peperone in serra alta produzione,0.0,m,protetta,340.0,False,Capsicum,annuum
167.0,47.0,O47,Peperone in serra media produzione,0.0,m,pieno campo,340.0,False,Capsicum,annuum
168.0,48.0,O48,Piccoli frutti,0.0,p,pieno campo,340.0,False,,
