id,group_id,crop_id,phase,crop,max_theoretical_N,MAS_N,reference_yield,yield_unit,product,dry_or_irrigated,reference_yield_t_ha,dry_matter_pct,standard_yield,standard_N,max_increment,max_N_dose,note,crop_en
184.0,64.0,O64,nd,Scalogno,340.0,120.0,8.0,tq,,no,8.0,,8.0,90.0,40.0,130.0,RR n. 2/2024,Scalogno
185.0,65.0,O65,nd,Sedano media produzione,340.0,250.0,80.0,tq,,no,80.0,11.7,50.0,240.0,50.0,290.0,RR n. 2/2024,Sedano media produzione
186.0,66.0,O66,nd,Sedano alta produzione,340.0,250.0,80.0,tq,,no,80.0,11.7,80.0,270.0,50.0,320.0,RR n. 2/2024,Sedano alta produzione
187.0,67.0,O67,nd,Spinacio alta produzione con più tagli,340.0,190.0,20.0,tq,,no,20.0,,27.5,110.0,40.0,150.0,RR n. 2/2024,Spinacio alta produzione con più tagli
188.0,68.0,O68,nd,Spinacio media produzione,340.0,125.0,13.0,tq,,no,13.0,9.9,20.0,150.0,40.0,190.0,RR n. 2/2024,Spinacio media produzione
189.0,69.0,O69,nd,Verza - cavolo da mercato media produzione,340.0,150.0,35.0,tq,,no,35.0,9.3,24.0,130.0,50.0,180.0,RR n. 2/2024,Verza - cavolo da mercato media produzione
190.0,70.0,O70,nd,Verza - cavolo da mercato alta produzione,340.0,150.0,35.0,tq,,no,35.0,9.3,50.0,160.0,50.0,210.0,RR n. 2/2024,Verza - cavolo da mercato alta produzione
191.0,71.0,O71,nd,Verza da industria,340.0,150.0,35.0,tq,,no,35.0,9.3,35.0,150.0,40.0,190.0,RR n. 2/2024,Verza da industria
192.0,72.0,O72,nd,Zucca,340.0,210.0,40.0,tq,,no,40.0,5.6,35.0,110.0,30.0,140.0,RR n. 2/2024,Pumpkin
193.0,73.0,O73,nd,Zucchino da industria media produzione,340.0,190.0,50.0,tq,,no,50.0,,50.0,175.0,40.0,215.0,RR n. 2/2024,Zucchino da industria media produzione
194.0,74.0,O74,nd,Zucchino da industria alta produzione,340.0,190.0,50.0,tq,,no,50.0,,65.0,200.0,40.0,240.0,RR n. 2/2024,Zucchino da industria alta produzione
195.0,75.0,O75,nd,Zucchino da mercato fresco media produzione,340.0,190.0,50.0,tq,,no,50.0,6.4,40.0,150.0,40.0,190.0,RR n. 2/2024,Zucchino da mercato fresco media produzione
196.0,76.0,O76,nd,Zucchino da mercato  fresco alta produzione,340.0,190.0,50.0,tq,,no,50.0,7.4,50.0,180.0,40.0,220.0,RR n. 2/2024,Zucchino da mercato  fresco alta produzione
197.0,1.0,S1,nd,Barbabiertola da seme (fase porta seme),340.0,,,,seme,no,0.0,,,140.0,40.0,180.0,RR n. 2/2024,Barbabiertola da seme (fase porta seme)
198.0,2.0,S2,nd,Carota da seme (fase portaseme),340.0,,,,seme,no,0.0,,,120.0,30.0,150.0,RR n. 2/2024,Carota da seme (fase portaseme)
199.0,3.0,S3,nd,Carota da seme (fase vivaio),340.0,,,,tubero,no,0.0,,50.0,120.0,35.0,155.0,RR n. 2/2024,Carota da seme (fase vivaio)
200.0,4.0,S4,nd,Cavoli da seme,340.0,,,,seme,no,0.0,,,160.0,40.0,200.0,RR n. 2/2024,Cavoli da seme
201.0,5.0,S5,nd,Cetriolo da seme,340.0,,,,seme,no,0.0,,,180.0,40.0,220.0,RR n. 2/2024,Cetriolo da seme
202.0,6.0,S6,nd,Cicoria da seme,340.0,,,,seme,no,0.0,,,140.0,40.0,180.0,RR n. 2/2024,Cicoria da seme
203.0,7.0,S7,nd,Cipolla da seme (fase portaseme),340.0,,,,seme,no,0.0,,,130.0,30.0,160.0,RR n. 2/2024,Cipolla da seme (fase portaseme)
204.0,8.0,S8,nd,Cipolla da seme (fase vivaio),340.0,,,,bulbi,no,0.0,,45.0,130.0,40.0,170.0,RR n. 2/2024,Cipolla da seme (fase vivaio)
205.0,9.0,S9,nd,Coriandolo da seme,340.0,,,,seme,no,0.0,,,70.0,20.0,90.0,RR n. 2/2024,Coriandolo da seme
206.0,10.0,S10,nd,Erba medica  da seme,340.0,,,,seme,no,0.0,,,0.0,100.0,100.0,RR n. 2/2024,Erba medica  da seme
207.0,11.0,S11,nd,Finocchio da seme,340.0,,,,seme,no,0.0,,,100.0,20.0,120.0,RR n. 2/2024,Finocchio da seme
208.0,12.0,S12,nd,Frumento duro da seme (granella),340.0,190.0,6.0,tq,gran,no,6.0,87.0,6.0,160.0,30.0,190.0,RR n. 2/2024,Frumento duro da seme (granella)
209.0,13.0,S13,nd,Frumento tenero da seme (granella),340.0,180.0,6.5,tq,gran,no,6.5,87.0,6.0,140.0,40.0,180.0,RR n. 2/2024,Frumento tenero da seme (granella)
210.0,14.0,S14,nd,Girasole da seme (granella),340.0,120.0,3.5,tq,gran,no,3.5,90.0,3.0,90.0,40.0,130.0,RR n. 2/2024,Girasole da seme (granella)
211.0,15.0,S15,nd,Lattuga da seme,340.0,130.0,,,seme,no,0.0,,,100.0,30.0,130.0,RR n. 2/2024,Lattuga da seme
212.0,16.0,S16,nd,Orzo da seme (granella),340.0,150.0,6.0,tq,gran,no,6.0,87.0,6.5,125.0,40.0,165.0,RR n. 2/2024,Orzo da seme (granella)
213.0,17.0,S17,nd,Pisello proteico da seme (granella),50.0,,,,gran,no,0.0,,,50.0,30.0,80.0,RR n. 2/2024,Pisello proteico da seme (granella)
214.0,18.0,S18,nd,Prezzemolo da seme,340.0,,,,seme,no,0.0,,,100.0,20.0,120.0,RR n. 2/2024,Prezzemolo da seme
215.0,19.0,S19,nd,Ravanello da seme,340.0,,,,seme,no,0.0,,,150.0,40.0,190.0,RR n. 2/2024,Ravanello da seme
216.0,20.0,S20,nd,Segale da seme (granella),340.0,120.0,4.5,tq,gran,no,4.5,87.0,4.0,100.0,50.0,150.0,RR n. 2/2024,Segale da seme (granella)
217.0,21.0,S21,nd,Soia da seme (granella),120.0,30.0,,tq,gran,no,0.0,86.0,3.5,0.0,120.0,120.0,RR n. 2/2024,Soia da seme (granella)
218.0,22.0,S22,nd,Triticale da seme (granella),340.0,150.0,6.0,tq,gran,no,6.0,87.0,7.5,140.0,50.0,190.0,RR n. 2/2024,Triticale da seme (granella)
219.0,23.0,S23,nd,Trifoglio da seme (trifoglio),340.0,170.0,,tq,gran,no,,,,0.0,0.0,0.0,,Trifoglio da seme (trifoglio)
220.0,1.0,BL1,1° taglio,Bietola da foglia,340.0,,,tq,foglie,sì,,,11.5,60.0,30.0,90.0,RR n. 2/2024,Bietola da foglia
